16:52:27.235 INFO  [main]QuizApplication - Starting QuizApplication using Java 17.0.2 with PID 18676 (D:\JJJAVA\quizGit\bin\main started by user in D:\JJJAVA\quizGit)
16:52:27.236 INFO  [main]QuizApplication - No active profile set, falling back to 1 default profile: "default"
16:52:27.722 INFO  [main]RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:52:27.775 INFO  [main]RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45 ms. Found 3 JPA repository interfaces.
16:52:28.228 INFO  [main]TomcatWebServer - Tomcat initialized with port 8080 (http)
16:52:28.237 INFO  [main]Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:52:28.239 INFO  [main]StandardService - Starting service [Tomcat]
16:52:28.239 INFO  [main]StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
16:52:28.296 INFO  [main][/] - Initializing Spring embedded WebApplicationContext
16:52:28.296 INFO  [main]ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1032 ms
16:52:28.416 INFO  [main]HikariDataSource - HikariPool-1 - Starting...
16:52:28.591 INFO  [main]HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@443a06ad
16:52:28.593 INFO  [main]HikariDataSource - HikariPool-1 - Start completed.
16:52:28.621 INFO  [main]LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:52:28.660 INFO  [main]Version - HHH000412: Hibernate ORM core version 6.5.3.Final
16:52:28.686 INFO  [main]RegionFactoryInitiator - HHH000026: Second-level cache disabled
16:52:28.921 INFO  [main]SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16:52:29.178 WARN  [main]RootClass - HHH000038: Composite-id class does not override equals(): com.example.quiz.entity.FeedbackId
16:52:29.178 WARN  [main]RootClass - HHH000039: Composite-id class does not override hashCode(): com.example.quiz.entity.FeedbackId
16:52:29.178 WARN  [main]RootClass - HHH000038: Composite-id class does not override equals(): com.example.quiz.entity.QusetionId
16:52:29.178 WARN  [main]RootClass - HHH000039: Composite-id class does not override hashCode(): com.example.quiz.entity.QusetionId
16:52:29.550 INFO  [main]JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:52:29.551 INFO  [main]LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:52:29.803 INFO  [main]QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
16:52:30.346 WARN  [main]JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:52:30.671 INFO  [main]Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:52:30.696 INFO  [main]TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
16:52:30.703 INFO  [main]QuizApplication - Started QuizApplication in 3.837 seconds (process running for 4.135)
16:52:37.358 INFO  [http-nio-8080-exec-2][/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:52:37.358 INFO  [http-nio-8080-exec-2]DispatcherServlet - Initializing Servlet 'dispatcherServlet'
16:52:37.359 INFO  [http-nio-8080-exec-2]DispatcherServlet - Completed initialization in 1 ms
